read:9.4388, augment:17.9131
read:2.7683, augment:16.0782
read:8.1079, augment:18.3704
read:6.3376, augment:16.3903
read:9.3353, augment:17.4036
read:2.7642, augment:15.4691
read:3.6008, augment:17.2768
read:10.7186, augment:17.5424
read:0.8693, augment:16.0615
read:3.7501, augment:16.3858
read:3.6614, augment:18.3728
read:6.0396, augment:17.5333
read:5.3566, augment:17.0369
read:5.2185, augment:17.3025
read:1.3101, augment:16.4320
read:4.7300, augment:16.3066
read:2.1224, augment:16.1359
read:4.5288, augment:16.7515
read:9.4340, augment:17.6480
read:410.0060, augment:23.4525
read:5.3909, augment:17.4110
read:3.7758, augment:16.5169
read:17.5362, augment:19.9928
read:1.9846, augment:16.5429
read:0.7899, augment:15.2476
read:51.7745, augment:19.5794
read:3.3233, augment:16.6795
read:3.4289, augment:16.1245
read:7.0522, augment:16.3527
read:1.6139, augment:16.5596
read:2.6271, augment:16.7699
read:10.8824, augment:18.3294
read:9.8767, augment:17.5166
read:4.4591, augment:16.9642
read:19.1445, augment:18.7416
read:4.8270, augment:16.7613
read:0.9561, augment:16.2716
read:1.1077, augment:16.1896
read:2.6081, augment:17.1537
read:9.3534, augment:17.9143
read:2.9240, augment:16.4921
read:1.4386, augment:15.5282
read:11.4341, augment:19.4979
read:5.3878, augment:16.6531
read:1.3349, augment:16.1316
read:1.9677, augment:15.5358
read:0.9522, augment:15.1944
read:8.3292, augment:18.5878
read:0.9792, augment:15.5840
read:1.2870, augment:16.3772
read:7.6454, augment:19.0983
read:58.8884, augment:19.4802
read:2.0604, augment:16.1345
read:1.1599, augment:15.5182
read:1.7481, augment:16.5360
read:7.5483, augment:17.3764
read:9.0899, augment:17.3724
read:16.4008, augment:18.2664
read:7.4329, augment:17.5090
read:1.2715, augment:12.5134
read:6.0530, augment:18.7137
read:0.7794, augment:15.3003
read:3.1328, augment:15.9638
read:2.9783, augment:16.9048
read:5.2240, augment:17.4603
read:4.3678, augment:16.7353
read:1.6296, augment:15.4181
read:3.3321, augment:15.8024
read:26.8435, augment:18.9772
read:3.3166, augment:16.9976
read:8.0113, augment:17.5340
read:4.2579, augment:19.0985
read:6.3710, augment:17.8585
read:2.8720, augment:15.8761
read:13.3030, augment:17.8695
read:0.7865, augment:15.0812
read:5.9936, augment:19.1011
read:12.4357, augment:19.3589
read:9.9397, augment:17.7217
read:7.8762, augment:17.2899
read:10.3562, augment:18.4965
read:2.5945, augment:17.5514
read:16.7124, augment:19.5327
read:14.1172, augment:19.5143
read:12.0180, augment:17.5366
read:0.8397, augment:16.9230
read:11.4214, augment:18.9760
read:21.7812, augment:18.7101
read:5.4827, augment:18.2154
read:1.3266, augment:15.5375
read:32.4152, augment:19.1967
read:19.3427, augment:18.7120
read:13.2577, augment:18.5006
read:11.0683, augment:19.5484
read:1.8945, augment:16.0389
read:5.2810, augment:17.3674
read:28.3926, augment:20.9205
read:0.7958, augment:15.3515
read:2.0981, augment:17.0481
read:2.2867, augment:15.7156
read:10.4122, augment:18.6043
read:1.1222, augment:15.5125
read:9.6653, augment:17.5648
read:2.3170, augment:16.6018
read:1.3132, augment:15.5904
read:0.6523, augment:15.1429
read:24.2474, augment:19.8338
read:2.1996, augment:15.6927
read:6.9041, augment:17.6330
read:7.5791, augment:17.4615
read:14.7996, augment:18.3184
read:1.4334, augment:15.6605
read:4.4129, augment:17.1070
read:3.6561, augment:15.8741
read:0.7951, augment:15.1703
read:11.1649, augment:17.8189
read:21.5197, augment:18.6806
read:3.1743, augment:16.2442
read:0.8197, augment:15.1632
read:7.6442, augment:17.4758
read:8.4963, augment:17.7114
read:3.4912, augment:16.9988
read:3.3126, augment:16.3968
read:0.9177, augment:16.1736
read:1.0819, augment:16.2442
read:6.1293, augment:17.4990
read:2.1043, augment:15.7943
read:12.5651, augment:19.6064
read:3.4869, augment:16.2852
read:4.6942, augment:16.6807
read:3.0551, augment:16.8111
read:0.9515, augment:16.3553
read:2.9552, augment:17.5529
read:4.1766, augment:17.1223
read:2.8186, augment:16.7861
read:1.8437, augment:16.5441
read:7.4961, augment:18.6656
read:7.2358, augment:17.9422
read:6.2904, augment:17.7436
read:2.2922, augment:15.8827
read:15.2962, augment:18.4970
read:10.9057, augment:17.6597
read:1.6510, augment:16.8133
read:3.0277, augment:16.0246
read:2.9664, augment:16.8469
read:23.9153, augment:18.9960
read:1.3425, augment:15.7063
read:23.7467, augment:18.9793
read:2.7471, augment:15.6298
read:13.8721, augment:18.0054
read:4.1106, augment:17.7157
read:5.1847, augment:17.7777
read:1.0478, augment:16.3014
read:0.8824, augment:16.0518
read:2.2585, augment:16.5143
read:1.4980, augment:15.5065
