read:14.1184, augment:1.3542
read:2.5952, augment:1.2281
read:0.5810, augment:0.9432
read:5.9536, augment:1.2774
read:6.3303, augment:1.4040
read:2.7752, augment:1.1721
read:2.7266, augment:1.1618
read:0.5927, augment:1.0335
read:0.7129, augment:0.9553
read:4.3783, augment:1.2631
read:1.5125, augment:1.1578
read:9.3772, augment:1.4555
read:2.6562, augment:1.2889
read:3.7155, augment:1.3418
read:2.4583, augment:1.1978
read:0.6793, augment:0.9849
read:2.0833, augment:1.1153
read:3.2127, augment:1.1544
read:1.8120, augment:1.2233
read:1.3554, augment:1.0645
read:5.6634, augment:1.3781
read:5.2214, augment:1.3716
read:4.9660, augment:1.3838
read:1.8482, augment:1.1868
read:10.5639, augment:1.3118
read:7.6008, augment:1.3702
read:1.3237, augment:1.0028
read:2.3282, augment:1.2069
read:2.3053, augment:1.1313
read:15.8536, augment:1.3437
read:1.1120, augment:1.0672
read:15.8796, augment:1.3103
read:2.0289, augment:1.2186
read:10.4573, augment:1.3387
read:3.2163, augment:1.2090
read:3.9132, augment:1.3008
read:0.8290, augment:0.9987
read:0.5033, augment:0.9444
read:1.0026, augment:1.2488
read:1.0538, augment:1.0502
read:2.6832, augment:1.2410
read:6.1126, augment:1.3003
read:2.4931, augment:1.2376
read:0.5453, augment:0.9575
read:8.7669, augment:1.3111
read:0.7195, augment:0.9668
read:11.4052, augment:1.4133
read:20.6945, augment:1.3745
read:4.4661, augment:1.3011
read:1.7209, augment:1.1952
read:1.4234, augment:0.9141
read:1.0619, augment:1.1170
read:0.7288, augment:1.0300
read:75.4261, augment:1.3545
read:0.6740, augment:1.2019
read:0.6840, augment:0.9894
read:23.7753, augment:1.2913
read:0.9568, augment:1.0741
read:8.4577, augment:1.4007
read:2.1207, augment:1.1156
read:8.4810, augment:1.4422
read:2.1315, augment:1.2364
read:1.5557, augment:1.0941
read:1.1022, augment:1.0602
read:2.0702, augment:1.1287
read:1.6012, augment:1.0648
read:1.7259, augment:1.1344
read:4.4041, augment:1.2233
read:17.4050, augment:1.3621
read:2.2285, augment:1.2007
read:8.2250, augment:1.3380
read:4.9846, augment:1.3468
read:7.9207, augment:1.4031
read:0.7064, augment:1.0424
read:5.6610, augment:1.3900
read:9.7051, augment:1.3866
read:2.2812, augment:0.9780
read:44.2693, augment:1.4074
read:9.1908, augment:1.3628
read:3.4475, augment:1.3206
read:3.2892, augment:1.3080
read:3.6073, augment:1.3599
read:10.0906, augment:1.3728
read:2.0175, augment:1.1325
read:0.6502, augment:0.9887
read:18.2874, augment:1.3568
read:9.8042, augment:1.4453
read:157.9239, augment:1.6410
read:1.0200, augment:0.8807
read:8.0583, augment:1.3945
read:2.2724, augment:1.0180
read:1.6234, augment:1.1473
read:0.9553, augment:1.0874
read:8.4827, augment:1.3142
read:7.0260, augment:1.2951
read:9.7239, augment:1.4725
read:3.6685, augment:1.1609
read:1.2007, augment:1.1330
read:0.3967, augment:1.0164
read:1.5419, augment:1.1890
read:1.1375, augment:1.0476
read:2.4698, augment:1.1594
read:0.8450, augment:1.0102
read:3.2830, augment:1.2946
read:21.5287, augment:1.3041
read:6.2809, augment:1.3800
read:2.0134, augment:1.1487
read:13.4871, augment:1.3497
read:0.9074, augment:0.9284
read:4.5588, augment:1.3196
read:11.7078, augment:1.3015
read:2.1431, augment:1.1430
read:4.3004, augment:1.3402
read:2.2802, augment:1.1575
read:2.0423, augment:1.1287
read:3.1984, augment:1.1473
read:11.6546, augment:1.3034
read:5.2373, augment:1.3466
read:5.4295, augment:1.3931
read:1.2348, augment:1.0612
read:0.6621, augment:1.0121
read:116.5628, augment:1.4243
read:20.8886, augment:1.4322
read:1.5485, augment:1.1387
read:23.7558, augment:1.5023
read:1.0097, augment:1.0774
read:2.0652, augment:1.1368
read:11.3485, augment:1.3964
read:1.9891, augment:1.0295
read:0.5014, augment:0.9966
read:3.5622, augment:1.3251
read:4.8075, augment:1.2379
read:13.0656, augment:1.4124
read:39.4928, augment:1.3440
read:1.2527, augment:1.1463
read:1.3547, augment:1.1110
read:4.4699, augment:1.2844
read:3.6938, augment:1.2572
read:1.6718, augment:1.1642
read:4.3762, augment:1.2534
read:5.7771, augment:1.1783
read:9.8479, augment:1.4007
read:0.6745, augment:0.9468
read:2.5952, augment:1.2357
read:1.7133, augment:1.1697
read:3.0458, augment:1.2689
read:23.7904, augment:1.3387
read:1.1618, augment:1.0860
read:5.6534, augment:1.3969
read:12.1753, augment:1.3776
read:19.2358, augment:1.3874
read:0.5512, augment:0.9058
read:0.4919, augment:0.9296
read:1.6828, augment:1.1148
read:1.2720, augment:1.0169
read:0.7000, augment:0.8748
read:1.1740, augment:1.0979
